GeneSymbol	D0-DC-n1	D0-DC-n2	D0-DP-n1	D0-DP-n2	D0-DP-n3	D4-DC-n1	D4-DC-n2	D4-DC-n3	D4-DP-n1	D4-DP-n2	D4-DP-n3	D7-DC-n1	D7-DC-n2	D7-DP-n1	D7-DP-n2	D7-DP-n3
2210013O21Rik	1019	950	2056	1496	1389	1095	875	682	1030	857	799	1181	1394	1534	1777	2100
2210015D19Rik	202	270	357	259	205	277	455	380	234	397	216	338	326	225	255	241
2210016F16Rik	2987	2816	4400	3304	2874	3465	3172	2834	2236	3182	2544	3640	3878	3072	3317	4295
2210016L21Rik	465	468	386	699	515	470	504	485	499	599	582	487	583	608	687	805
2210018M11Rik	720	760	178	1542	1520	598	674	804	1337	1212	888	758	896	1431	1681	2026
2210404O09Rik	185	152	246	249	233	137	162	200	251	279	163	172	209	296	365	430
2210406O10Rik	0	3	15	1	8	0	6	4	6	3	11	2	2	1	13	17
2210407C18Rik	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210408F21Rik	88	74	2	0	0	42	36	68	0	2	10	42	32	0	0	0
2210408I21Rik	102	74	170	107	134	20	32	63	67	167	101	76	77	85	227	148
2210409E12Rik	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210414B05Rik	0	0	0	0	0	0	0	12	0	0	0	0	3	0	0	0
2210416O15Rik	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
2210417A02Rik	6	2	18	0	0	29	0	35	0	16	0	8	14	0	0	0
2300002M23Rik	2	0	0	2	0	20	0	0	6	4	20	0	2	8	9	0
2300003K06Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2300005B03Rik	0	0	6	1	2	0	0	0	0	1	1	0	1	1	0	1
2300009A05Rik	312	248	482	353	290	339	424	299	250	473	362	353	341	343	314	455
2310001H17Rik	251	228	100	73	55	248	269	168	67	153	162	128	132	99	101	129
2310001K24Rik	0	0	3	0	0	1	0	0	1	1	2	0	0	0	5	0
2310002D06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2310002F09Rik	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310003N18Rik	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310007B03Rik	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
2310008N11Rik	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
2310009A05Rik	447	446	1178	485	500	505	540	338	381	553	398	525	524	656	654	757
2310009B15Rik	209	238	566	278	285	264	186	162	251	282	242	232	223	348	332	397
2310010G23Rik	25	22	118	33	42	1	16	11	50	48	40	15	13	53	34	61
2310010J17Rik	51	59	50	21	20	61	60	64	23	36	63	42	49	13	23	41
2310011J03Rik	2133	1861	2396	2456	2014	2239	2021	1804	1992	1996	1748	2254	2045	2013	2275	3448
2310015A10Rik	108	108	9	10	18	286	95	213	43	56	91	61	90	10	6	12
2310022A10Rik	804	721	844	1532	1236	1971	2124	2639	1289	1553	1187	840	1137	1216	1409	1750
2310022B05Rik	632	658	260	287	191	308	379	374	203	235	276	417	534	232	375	370
2310030G06Rik	0	8	12	0	0	0	0	4	16	10	2	2	4	0	0	6
2310033P09Rik	461	468	311	660	583	695	562	479	564	625	652	539	557	683	604	735
2310034G01Rik	28	39	2	0	1	16	14	29	0	8	0	28	20	0	0	0
2310035C23Rik	895	781	637	887	741	514	408	455	723	734	589	678	882	468	798	1105
2310036O22Rik	2291	2330	4329	3701	3002	2987	2604	2325	2505	3360	2815	2774	2793	3808	3730	4234
2310039H08Rik	588	545	1293	598	468	491	434	447	473	817	632	556	621	582	546	594
2310039L15Rik	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0
2310040G24Rik	425	409	93	60	50	165	257	120	27	27	11	692	542	37	43	43
2310043L19Rik	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
2310043O21Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2310045N01Rik	1142	1121	1320	1478	1317	861	850	612	964	851	774	1132	1211	1419	1756	2341
2310047M10Rik	264	279	276	331	248	408	420	483	179	147	115	244	285	245	227	413
2310057M21Rik	267	353	504	600	475	233	371	257	308	439	412	311	438	651	648	774
2310061I04Rik	178	172	156	120	122	478	385	234	275	497	411	248	256	164	177	264
2310067B10Rik	1111	987	418	718	748	320	844	1113	1078	1106	951	1058	1436	402	921	1037
2310068J16Rik	5	17	22	11	7	0	7	0	11	6	7	8	12	3	14	19
2310069B03Rik	0	0	0	0	0	0	1	35	3	0	0	0	0	0	0	0
2310075C17Rik	24	24	198	165	118	2	8	8	91	27	25	15	43	150	183	196
2410002F23Rik	1110	1034	1227	1248	824	922	858	874	1051	1598	1518	799	960	778	883	1212
2410003L11Rik	4	0	14	3	4	0	12	6	1	0	6	10	0	0	4	6
2410004B18Rik	450	473	840	716	642	574	493	518	656	941	587	558	606	835	852	999
2410004I01Rik	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
2410004P03Rik	178	197	47	100	112	77	41	51	67	64	32	59	64	78	68	95
2410006H16Rik	609	683	1406	885	670	766	732	629	627	805	571	814	633	1067	1086	1233
2410012E07Rik	0	2	0	0	0	0	15	0	0	0	0	0	0	0	0	0
2410015M20Rik	1687	1648	2961	1775	1440	2378	1880	1692	1488	2235	1618	1782	1704	2082	1793	2193
2410016O06Rik	987	1083	2335	1736	1532	850	1388	830	1767	2131	1626	1137	1577	1389	1931	2314
2410017I17Rik	5	6	39	35	29	2	7	0	33	29	23	4	11	65	81	63
2410018L13Rik	0	0	0	0	0	0	0	0	4	9	0	0	0	5	2	8
2410021H03Rik	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0
2410089E03Rik	157	179	251	412	312	114	127	160	445	239	217	232	309	365	397	661
2410127L17Rik	304	360	888	461	543	415	345	345	614	938	651	309	415	553	570	588
2410131K14Rik	525	445	613	644	553	507	424	426	401	658	565	463	625	350	543	752
2410137M14Rik	0	6	0	0	0	0	1	0	0	0	0	10	12	0	0	0
2500002B13Rik	8	14	97	50	31	22	16	46	30	50	18	22	26	67	64	48
2500004C02Rik	48	35	64	56	53	44	50	6	101	53	43	44	39	92	56	54
2510002D24Rik	453	464	524	653	568	544	397	536	630	903	638	447	428	537	714	782
2510003B16Rik	4	4	17	10	2	17	7	2	21	15	3	5	5	2	7	3
2510009E07Rik	687	742	436	463	539	453	693	556	652	191	196	822	1540	400	531	964
2510039O18Rik	4678	4533	6082	6302	5457	5521	5518	5259	5043	4676	4427	4868	5832	4602	6483	8478
2610001J05Rik	2655	2427	3679	2307	2052	3896	3503	3079	1924	2050	1702	2890	3016	2075	2401	3191
2610002M06Rik	629	463	1757	1171	1448	640	605	704	1551	1257	980	303	558	1576	1306	1894
2610005L07Rik	92	104	116	153	150	43	81	55	88	95	86	69	125	89	134	216
2610008E11Rik	534	442	670	766	752	199	156	287	778	380	476	312	619	568	1025	1618
2610015P09Rik	150	114	36	85	72	159	145	144	106	91	90	165	145	51	115	128
2610016A17Rik	8	10	0	0	3	20	0	8	0	0	0	8	4	0	0	0
2610020C07Rik	24	22	134	69	86	15	6	23	53	45	35	23	16	74	87	70
2610020H08Rik	126	119	359	204	234	85	150	192	337	339	391	162	191	284	309	278
2610028E06Rik	0	1	0	0	0	8	0	6	0	0	0	0	0	0	3	0
2610035D17Rik	488	418	975	682	604	288	177	277	577	271	372	235	290	452	661	962
2610035F20Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2610037D02Rik	0	10	0	0	0	19	14	0	6	0	0	0	0	3	0	0
2610042L04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2610044O15Rik8	148	164	753	507	335	282	135	164	314	354	271	139	214	495	455	627
2610203C22Rik	4	27	0	2	0	269	228	200	5	0	6	16	47	0	0	5
2610206C17Rik	81	80	41	43	46	84	67	81	56	78	77	74	74	44	43	68
2610301B20Rik	663	609	965	794	536	312	164	428	565	571	437	463	522	745	820	944
2610305D13Rik	0	0	0	0	0	1	1	2	0	0	0	8	10	0	0	0
2610306M01Rik	95	108	291	164	151	86	55	30	115	142	79	94	123	183	224	285
2610307P16Rik	295	239	1513	1633	1310	15	20	9	721	253	128	212	367	1138	1886	2349
2610318N02Rik	458	482	2650	1861	1656	748	549	548	1588	2348	1504	535	692	2430	2049	2101
2610507B11Rik	3868	3750	1969	3229	3795	3785	6550	6178	6519	4571	5554	3406	5831	2621	3955	6023
2610507I01Rik	175	168	77	211	193	168	263	356	127	139	191	185	239	205	166	315
2610524H06Rik	620	582	925	580	537	803	606	430	587	828	668	512	651	617	531	504
2610528A11Rik	38	15	0	8	2	6	14	22	3	0	3	12	9	5	6	9
2610528J11Rik	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
2700029M09Rik	1573	1823	7974	3506	3536	2329	1895	1555	3009	4340	3186	1791	2112	4455	3993	4173
2700038G22Rik	56	59	190	127	86	80	89	45	108	182	173	31	39	80	95	86
2700046A07Rik	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
2700046G09Rik	36	31	8	0	0	19	6	9	0	2	9	17	12	0	0	0
2700049A03Rik	444	361	370	930	877	326	299	324	797	692	563	421	582	1138	1274	1452
2700054A10Rik	0	0	12	15	0	39	22	50	10	15	58	2	14	6	12	19
2700060E02Rik	3654	3516	6333	3790	3346	4576	3337	3032	3610	4716	3776	5051	4941	4537	5008	4961
2700062C07Rik	530	439	747	922	811	562	385	335	527	783	604	515	655	1136	1253	1468
2700081O15Rik	99	61	258	436	327	8	15	7	268	50	36	51	197	177	382	573
2700094K13Rik	1727	1761	7879	3935	3870	2333	1929	1515	3474	4692	3687	2397	2357	6256	5086	4729
2700097O09Rik	244	247	489	243	200	286	192	212	362	561	336	389	292	294	279	243
2700099C18Rik	112	182	359	460	484	174	91	99	281	289	167	148	150	648	543	469
2810001G20Rik	116	91	241	160	140	139	76	108	208	264	280	75	67	200	172	206
2810002D19Rik	250	212	766	589	547	91	220	124	358	186	247	250	216	470	598	806
2810004N23Rik	654	671	1240	1021	817	673	729	890	1248	1957	1427	915	960	1019	725	1006
2810006K23Rik	259	217	248	353	376	289	204	257	338	474	325	282	328	442	345	348
2810013P06Rik	687	826	1192	1026	852	471	434	410	783	635	591	439	538	636	828	1552
2810021J22Rik	485	509	434	1811	1317	146	194	26	1059	397	217	359	735	949	1902	2655
2810025M15Rik	323	340	48	29	21	384	358	318	21	6	45	423	418	22	1	14
2810029C07Rik	32	68	36	34	21	22	33	18	26	0	0	52	37	38	39	75
2810032G03Rik	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
2810047C21Rik1	8	0	18	7	9	4	8	0	6	0	4	8	8	26	23	32
2810403A07Rik	910	930	768	1278	1134	1034	1105	1109	1041	1503	1308	899	1053	1247	1084	1430
2810403D21Rik	34	51	98	71	59	70	27	24	56	40	39	8	48	64	61	87
2810404M03Rik	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810408A11Rik	110	40	289	361	302	36	12	23	239	227	125	83	83	371	469	470
2810408I11Rik	75	63	383	186	247	118	80	145	332	355	198	158	155	306	255	251
2810410L24Rik	0	6	26	11	20	2	0	0	14	7	6	0	0	6	12	22
2810417H13Rik	4265	4041	32166	18161	19092	6136	4391	4339	16284	21536	15052	6135	6868	28128	20515	20329
2810428I15Rik	1097	1136	2295	1223	1105	2011	1476	1391	1076	1380	1117	1500	1438	1556	1505	1562
2810429I04Rik	27	43	10	6	10	21	28	3	19	22	9	63	42	8	8	4
2810433D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
2810442N19Rik	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
2810454H06Rik	32	38	195	100	88	16	27	29	27	38	31	34	35	83	101	189
2810459M11Rik	63	61	70	105	44	76	116	88	157	188	97	27	41	58	24	36
2810468N07Rik	88	80	0	8	2	56	38	90	12	42	24	16	16	4	0	2
2810474O19Rik	3138	3521	429	3358	2709	4993	5360	4688	3017	3400	3473	2784	3665	2679	3605	4786
2900005J15Rik	25	3	38	18	10	4	25	16	19	13	8	14	26	0	8	0
2900008C10Rik	68	51	93	85	88	106	79	96	74	115	107	25	45	83	113	139
2900009J06Rik	0	0	2	0	1	1	0	1	0	0	0	0	0	3	3	0
2900011O08Rik	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
2900026A02Rik	219	190	10	61	37	159	267	478	85	128	157	410	303	0	0	0
2900041M22Rik	26	29	26	14	26	9	0	5	4	12	23	2	0	9	4	0
2900052N01Rik	50	57	0	1	0	77	31	0	2	0	12	203	285	0	0	0
2900055J20Rik	0	0	1	0	2	3	0	1	0	0	0	0	1	0	0	0
2900060B14Rik	24	33	318	216	116	63	27	54	88	75	47	43	39	82	158	123
2900076A07Rik	84	60	301	185	101	57	35	38	124	80	68	43	107	191	228	279
2900079G21Rik	24	33	190	191	163	22	33	15	118	117	60	26	65	194	216	281
2900092D14Rik	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900097C17Rik	2143	2243	1583	1608	1858	1053	2080	1639	1917	1533	1571	1600	2223	919	1520	2532
3000002C10Rik	47	25	105	98	82	54	25	26	68	156	134	29	57	50	70	148
3010026O09Rik	178	174	518	424	372	145	237	218	295	412	279	175	238	646	485	375
3110001I22Rik	306	305	265	332	294	262	295	299	323	402	289	290	307	303	521	410
3110002H16Rik	1480	1675	1650	1659	1585	1566	1023	1435	1252	1878	1238	1518	1839	1539	1809	2483
3110009E18Rik	77	83	350	164	154	118	94	53	155	212	145	82	90	146	170	240
3110021A11Rik	0	2	3	2	0	0	2	0	0	0	10	2	0	0	0	0
3110021N24Rik	12	8	2	4	2	2	4	13	0	0	0	12	13	0	0	0
3110035E14Rik	1	0	0	0	0	6	0	2	0	0	0	0	1	0	0	0
3110039I08Rik	0	0	0	0	1	0	0	0	0	0	1	4	10	0	0	0
3110039M20Rik	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
3110040N11Rik	562	553	832	580	486	705	487	560	551	829	598	569	579	627	596	731
3110043O21Rik	1146	1041	289	265	250	850	1038	1033	413	189	277	1529	1631	141	271	321
3110045C21Rik	9	11	42	41	32	17	9	4	23	26	8	7	22	20	16	50
3110052M02Rik	345	255	370	556	313	189	169	115	430	203	235	170	318	341	428	812
3110056K07Rik	125	121	324	176	133	135	96	71	135	99	164	148	134	171	157	201
3110057O12Rik	183	144	433	310	326	129	79	221	271	238	168	75	155	342	350	387
3110062M04Rik	94	85	181	140	134	78	126	76	97	110	90	93	138	114	157	198
3110070M22Rik	11	8	7	27	4	0	6	13	14	1	4	6	7	5	22	44
3110079O15Rik	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
3110082I17Rik	382	352	539	299	375	673	801	707	481	953	604	394	594	237	327	328
3110099E03Rik	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0
3200001D21Rik	18	27	40	15	21	9	15	26	13	28	23	15	20	21	34	35
3300002I08Rik	3	3	30	26	9	23	3	7	13	18	12	14	15	4	20	15
3300005D01Rik	32	46	0	0	3	31	13	12	0	4	0	15	17	0	0	0
3425401B19Rik	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
3632451O06Rik	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	1
3632454L22Rik	0	0	4	7	1	0	10	0	1	0	1	0	0	1	0	0
3830403N18Rik	85	37	86	68	31	100	20	120	20	77	49	106	27	64	78	90
3830406C13Rik	1417	1416	533	392	360	1363	1290	1002	480	770	574	1345	1394	412	497	598
3830408C21Rik	4	5	20	7	27	0	0	2	5	23	18	0	15	11	4	48
3830432H09Rik	3	0	0	16	4	0	0	0	0	12	0	0	4	8	1	0
3930402G23Rik	0	0	2	6	0	0	3	14	0	4	7	1	3	4	9	2
4430402I18Rik	5	3	2	5	6	0	10	12	1	0	6	0	17	1	2	0
4631405J19Rik	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0
4632404H12Rik	86	58	54	81	23	26	44	8	35	46	58	26	36	21	39	40
4632415L05Rik	138	285	312	483	472	66	91	127	277	256	192	172	266	451	525	579
4632427E13Rik	135	112	244	167	163	90	91	70	140	130	146	54	122	92	138	242
4632428C04Rik	8	28	0	1	2	3	30	18	5	6	10	25	39	4	10	4
4632428N05Rik	5534	6106	1447	2051	1566	9176	13196	12805	2792	4811	6036	7337	8615	1228	2242	2852
4732416N19Rik	2	3	12	3	5	1	2	0	6	0	2	3	2	4	6	8
4732456N10Rik	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0
4732471J01Rik	17	13	16	22	18	27	5	9	9	9	7	6	12	13	20	17
4732490B19Rik	4	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0
4732491K20Rik	28	31	44	39	18	14	0	16	12	0	3	14	18	21	20	18
4831407H17Rik	2	0	0	0	0	16	0	6	0	0	0	0	0	0	0	2
4831440E17Rik	13	22	27	13	16	7	22	32	32	50	9	18	4	30	33	66
4833411C07Rik	2	6	0	0	0	6	17	19	0	0	0	41	23	5	0	0
4833412C05Rik	1	0	8	32	12	16	0	0	7	0	0	0	2	6	2	8
4833415N18Rik	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4833417C18Rik	25	19	65	51	51	20	38	34	71	77	41	47	60	32	30	53
4833418N02Rik	58	23	9	13	13	65	15	24	16	12	7	11	22	18	23	28
4833419F23Rik	32	42	2	15	3	83	150	116	11	21	29	59	69	6	34	9
4833420G17Rik	895	875	2116	2040	1567	1061	539	1022	1475	1467	1369	751	1132	1932	2347	2361
4833422C13Rik	0	4	6	41	16	0	0	0	15	4	4	0	7	30	4	10
4833422M21Rik	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
4833423E24Rik	0	0	0	2	0	0	2	0	0	0	0	9	2	0	0	0
4833427F10Rik	0	0	1	0	0	9	0	0	1	0	0	2	0	0	0	0
4833428L15Rik	2	1	2	1	0	1	0	1	1	0	0	0	0	1	0	3
4833439L19Rik	5056	4855	5832	5214	4930	4664	4992	4739	5189	4787	4176	5179	6064	4643	6430	8267
4921501E09Rik	0	1	0	1	0	1	0	0	0	0	1	0	2	0	0	0
4921507L20Rik	4	5	3	3	7	4	9	2	5	5	3	6	7	5	8	27
4921507P07Rik	14	11	27	9	5	0	28	0	12	18	0	7	6	8	9	31
4921509C19Rik	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1	0
4921509O07Rik	0	0	0	0	0	1	1	8	0	0	0	2	1	0	0	0
4921511C10Rik	22	17	14	36	12	14	14	2	5	24	27	4	15	12	24	35
4921511I17Rik	0	0	2	7	1	0	0	1	0	5	7	0	0	0	2	0
4921513I03Rik	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
4921517D22Rik	0	0	0	0	0	0	0	2	0	3	1	0	0	0	0	0
4921524J17Rik	384	369	1710	1344	1094	507	517	408	763	1174	861	339	476	1019	1168	1541
4921525O09Rik	73	85	309	415	358	0	43	115	284	360	196	37	146	478	633	740
4921529L05Rik	0	2	0	0	0	0	0	22	0	0	0	4	15	0	0	0
4921531C22Rik	192	176	344	258	154	116	111	175	152	62	103	142	168	166	192	305
4921536K21Rik	9	4	0	0	0	0	0	22	1	6	0	6	4	0	0	0
4922502D21Rik	4	10	6	0	1	0	0	0	0	0	0	2	4	0	0	1
4930402H24Rik	533	348	492	405	408	334	625	427	276	233	300	359	633	403	588	722
4930404I05Rik	11	1	0	0	4	0	0	0	0	0	0	5	7	0	0	0
4930404N11Rik	256	268	55	87	89	196	296	286	59	85	42	396	448	86	80	122
4930405A21Rik	29	17	18	11	23	1	11	17	16	31	20	13	6	26	18	16
4930405O22Rik	3	2	2	2	5	34	0	4	6	0	3	0	3	1	0	4
4930412C18Rik	10	3	1	0	0	15	1	0	10	0	0	20	2	0	0	0
4930413G21Rik	130	153	145	156	102	78	117	107	126	100	72	118	97	118	157	205
4930414N06Rik	0	1	0	0	0	0	0	0	0	0	2	1	1	0	2	0
4930415F15Rik	7	3	20	15	22	8	0	0	19	32	12	5	10	27	20	39
4930415O20Rik	0	2	9	7	7	0	4	0	3	1	4	0	2	1	4	6
4930417O13Rik	80	62	107	53	44	32	51	37	26	25	51	22	48	39	41	84
4930425O10Rik	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2
4930426D05Rik	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0
4930426L09Rik	32	48	26	32	47	15	7	23	13	2	4	17	26	27	28	46
4930427A07Rik	578	618	2910	1942	1965	777	697	1087	2478	3230	2462	752	922	1742	1927	2232
4930428O21Rik	25	30	284	265	223	0	32	10	111	32	52	34	55	378	298	469
4930429B21Rik	12	14	19	23	18	35	17	14	37	28	49	20	14	4	30	51
4930429F24Rik	4	1	13	10	8	4	3	0	4	3	6	5	1	6	3	12
4930430F08Rik	100	110	188	142	149	89	55	108	178	157	121	61	85	152	210	248
4930430J02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
4930431P03Rik	0	2	0	0	2	0	0	0	1	0	0	0	0	0	3	0
4930432J09Rik	0	0	0	0	0	0	1	2	0	0	0	5	2	0	1	0
4930432K21Rik	59	77	145	109	92	124	4	46	110	117	102	63	56	93	141	154
4930433N12Rik	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
4930435E12Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4930440I19Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
4930442L01Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4930444F02Rik	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
4930444P10Rik	0	8	0	0	0	0	0	2	0	0	1	0	0	0	0	2
4930445N18Rik	4	12	0	0	0	0	0	5	4	0	0	3	1	2	0	2
4930447A16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4930447C04Rik	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
4930447F24Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
4930447J18Rik	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930447K03Rik	3	13	31	13	23	39	53	28	18	5	20	23	17	53	54	48
4930447M23Rik	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
4930447N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
4930448H16Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4930448K20Rik	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0
4930449E01Rik	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0
4930449E18Rik	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
4930451G09Rik	51	35	15	7	23	0	29	0	13	35	14	33	30	1	17	24
4930452B06Rik	50	52	234	125	209	48	18	52	87	10	48	84	189	177	273	247
4930453N24Rik	1089	1099	1684	1331	1103	932	787	1025	1111	1963	1676	832	1150	1372	1544	1684
4930455B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0
4930455C13Rik	4	3	2	2	3	5	0	6	5	3	2	1	10	0	3	13
4930455D15Rik	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0
4930455G09Rik	102	133	13	4	4	421	296	377	10	9	17	309	238	1	0	0
4930456L15Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930459C07Rik	6	2	0	0	5	0	0	0	0	6	0	0	0	0	0	0
4930463O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4930465K10Rik	3	6	17	16	6	1	0	2	11	8	4	6	1	12	13	22
4930465M20Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0
4930467K11Rik	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0
4930469G21Rik	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
4930471C04Rik	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0
4930471M09Rik	0	2	8	0	0	0	0	0	3	0	2	0	4	2	2	2
4930473A02Rik	1	4	4	14	5	0	1	1	0	4	2	6	5	12	7	12
4930478L05Rik	8	4	79	51	61	3	7	1	16	13	17	6	6	24	50	72
4930479D17Rik	9	8	2	18	5	10	0	2	11	1	0	4	9	1	0	2
4930480K15Rik	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
4930480K23Rik	60	17	58	51	51	0	149	5	12	33	36	18	53	32	94	30
4930480M12Rik	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
4930481A15Rik	230	311	412	624	385	242	267	180	471	335	289	164	310	566	669	798
4930483J18Rik	0	4	0	1	3	0	0	4	12	8	6	2	0	6	1	0
4930484H19Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930486L24Rik	28	13	116	63	69	126	73	48	95	100	56	44	63	93	93	111
4930487H11Rik	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
4930488B22Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4930502E09Rik	2	2	1	1	1	0	0	0	1	2	0	5	0	0	4	7
4930502E18Rik	6	4	2	0	0	0	0	0	0	0	0	10	34	0	0	0
4930503B20Rik	1	4	9	5	6	0	0	1	6	0	6	1	1	1	0	1
4930503E24Rik	0	0	0	2	2	0	2	0	0	3	0	0	0	3	0	1
4930503L19Rik	374	427	721	453	575	314	405	420	488	693	464	432	325	389	625	734
4930503O07Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
4930505A04Rik	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
4930506A18Rik	0	0	0	0	0	13	0	0	2	0	0	0	0	0	0	0
4930506C21Rik	5	11	17	3	23	1	12	0	17	5	2	4	18	24	7	5
4930507D05Rik	53	21	136	137	58	0	5	27	68	63	59	12	33	46	116	111
4930509E16Rik	4	12	31	24	1	15	0	22	20	0	8	4	8	12	19	35
4930509K18Rik	1	0	0	0	1	1	13	1	1	0	1	2	2	0	0	0
4930511A02Rik	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
4930511E03Rik	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
4930512B01Rik	3	5	0	5	1	0	6	0	2	1	1	0	4	0	0	4
4930512J16Rik	73	78	11	0	0	18	90	115	0	0	6	97	91	0	0	0
4930512M02Rik	5	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0
4930513D17Rik	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
4930513N10Rik	50	65	230	148	161	32	5	26	164	74	75	31	70	173	154	191
4930515B02Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4930515G01Rik	85	75	76	73	65	16	85	80	128	73	63	50	86	86	136	149
4930515G16Rik	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
4930519G04Rik	0	2	1	0	0	0	14	0	0	0	0	0	0	0	0	0
4930520O04Rik	8	27	56	64	45	50	0	24	75	114	38	11	26	55	69	79
4930522O17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4930523C07Rik	1930	1732	1584	1740	1394	2772	2215	2237	2100	1999	2367	917	1047	1399	1613	1871
4930524B15Rik	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0
4930525D18Rik	0	0	0	0	0	0	0	7	0	0	3	0	0	8	0	3
4930525G20Rik	6	0	0	0	2	0	0	0	0	24	0	10	3	0	2	17
4930526H09Rik	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
4930526I15Rik	113	119	86	81	72	149	134	148	70	74	85	126	112	77	63	102
4930526L06Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4930528A17Rik	6	7	16	8	7	2	20	6	4	15	13	6	14	4	25	24
4930528D03Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
